Id,OSM_Id,Longitude,Latitude,Construction material,Age of construction,Number of Storeys,Number of basements,Height of the ground floor,Occupancy,Position within the block,Vertical irregularities,Horizontal irregularities,Roof covering,GEM Taxonomy,Image Quality,Image filename or link
625,303925249,-9.1498527,38.7545584,MUR,YBET:1960-1985,HEX:4,HBEX:1,,RES,BP2,IRVO,IRHO,RMN,MUR/HEX:4+HBEX:1/YBET:1960-1985/RES/BP2/IRHO+IRVO/RMN,Acceptable,"https://www.google.com/maps/@38.7545584,-9.1498527,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
626,303925250,-9.1497807,38.7547264,MUR,YBET:1960-1985,HEX:4,HBEX:1,,RES,BP2,IRVO,IRHO,RMT1,MUR/HEX:4+HBEX:1/YBET:1960-1985/RES/BP2/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7547264,-9.1497807,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
627,303925251,-9.1495035,38.754924,MUR,YBET:1960-1985,HEX:4,HBEX:1,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:4+HBEX:1/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.754924,-9.1495035,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
667,303927544,-9.1470669,38.7503342,MUR,YBET:1960-1985,HEX:3,HBEX:0,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:3+HBEX:0/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7503342,-9.1470669,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
668,303927546,-9.1471402,38.7501623,MUR,YBET:1960-1985,HEX:3,HBEX:0,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:3+HBEX:0/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7501623,-9.1471402,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
669,303927548,-9.1466741,38.7503378,MUR,YBET:1960-1985,HEX:3,HBEX:0,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:3+HBEX:0/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7503378,-9.1466741,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
670,303927550,-9.1463248,38.7499074,MUR,YBET:1960-1985,HEX:3,HBEX:0,,RES,BPD,IRVO,IRHO,RMT1,MUR/HEX:3+HBEX:0/YBET:1960-1985/RES/BPD/IRHO+IRVO/RMT1,Excellent,"https://www.google.com/maps/@38.7499074,-9.1463248,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
671,303927552,-9.1468691,38.7497858,MUR,YBET:1960-1985,HEX:4,HBEX:0,,RES,BP2,POP,IRHO,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/RES/BP2/IRHO+POP/RMT1,Excellent,"https://www.google.com/maps/@38.7497858,-9.1468691,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
654,303927525,-9.1429946,38.7503223,MUR,YBET:1960-1985,HEX:4,,,RES,,,,,MUR/HEX:4/YBET:1960-1985/RES,Acceptable,"https://www.google.com/maps/@38.7503223,-9.1429946,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
2284,987168440,-9.1314054,38.7528758,MUR,YBET:1960-1985,HEX:2,,,RES,,,,,MUR/HEX:2/YBET:1960-1985/RES,Acceptable,"https://www.google.com/maps/@38.7528758,-9.1314054,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
645,303927512,-9.1445172,38.7502934,MUR,YBET:1960-1985,HEX:4,,,RES,,,,,MUR/HEX:4/YBET:1960-1985/RES,Excellent,"https://www.google.com/maps/@38.7502934,-9.1445172,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
646,303927513,-9.1443692,38.7501384,MUR,YBET:1960-1985,HEX:3,,,RES,,,,,MUR/HEX:3/YBET:1960-1985/RES,Acceptable,"https://www.google.com/maps/@38.7501384,-9.1443692,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
649,303927516,-9.1440727,38.7502177,MUR,YBET:1960-1985,HEX:4,,,RES,,,,,MUR/HEX:4/YBET:1960-1985/RES,Acceptable,"https://www.google.com/maps/@38.7502177,-9.1440727,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
1206,425366804,-9.1437444,38.7500759,MUR,YBET:1960-1985,HEX:4,,,RES,,,,,MUR/HEX:4/YBET:1960-1985/RES,Bad,"https://www.google.com/maps/@38.7500759,-9.1437444,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
608,303925224,-9.1480292,38.7519477,MUR,YBET:1960-1985,HEX:4,,,RES,,,,,MUR/HEX:4/YBET:1960-1985/RES,Excellent,"https://www.google.com/maps/@38.7519477,-9.1480292,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
617,303925241,-9.1480331,38.7532456,MUR,YBET:1960-1985,HEX:3,,,RES,,,,,MUR/HEX:3/YBET:1960-1985/RES,Excellent,"https://www.google.com/maps/@38.7532456,-9.1480331,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
643,303925661,-9.1489595,38.755121,MUR,YBET:1960-1985,HEX:4,,,RES,,,,,MUR/HEX:4/YBET:1960-1985/RES,Excellent,"https://www.google.com/maps/@38.755121,-9.1489595,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
633,303925651,-9.1496325,38.7551632,MUR,YBET:1960-1985,HEX:4,,,MIX,,POP,,,MUR/HEX:4/YBET:1960-1985/MIX/POP,Acceptable,"https://www.google.com/maps/@38.7551632,-9.1496325,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
631,303925649,-9.1498694,38.7551762,MUR,YBET:1960-1985,HEX:4,,,MIX,,POP,,,MUR/HEX:4/YBET:1960-1985/MIX/POP,Bad,"https://www.google.com/maps/@38.7551762,-9.1498694,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
606,303925222,-9.1472038,38.7518244,MUR,YBET:1960-1985,HEX:4,,,RES,,,,,MUR/HEX:4/YBET:1960-1985/RES,Bad,"https://www.google.com/maps/@38.7518244,-9.1472038,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
609,303925225,-9.1473865,38.7521684,MUR,YBET:1960-1985,HEX:4,,,RES,,,,,MUR/HEX:4/YBET:1960-1985/RES,Excellent,"https://www.google.com/maps/@38.7521684,-9.1473865,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
2697,1005338256,-9.1381842,38.7480587,MUR,YBET:1960-1985,HEX:4,HBEX:0,,RES,BP2,POP,IRHO,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/RES/BP2/IRHO+POP/RMT1,Excellent,"https://www.google.com/maps/@38.7480587,-9.1381842,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
676,304100452,-9.1431648,38.7531474,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,,,RMN,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/RMN,Acceptable,"https://www.google.com/maps/@38.7531474,-9.1431648,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
678,304100456,-9.1427903,38.7529829,MUR,YBET:1960-1985,HEX:3,HBEX:0,,RES,BP1,,,RMT1,MUR/HEX:3+HBEX:0/YBET:1960-1985/RES/BP1/RMT1,Acceptable,"https://www.google.com/maps/@38.7529829,-9.1427903,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
681,304100460,-9.1425208,38.7530728,MUR,YBET:1960-1985,HEX:3,HBEX:0,,RES,BP1,,,RMT1,MUR/HEX:3+HBEX:0/YBET:1960-1985/RES/BP1/RMT1,Acceptable,"https://www.google.com/maps/@38.7530728,-9.1425208,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
682,304100462,-9.1426143,38.7532769,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/RMT1,Acceptable,"https://www.google.com/maps/@38.7532769,-9.1426143,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
691,304690342,-9.1404111,38.7533647,MUR,YBET:1960-1985,HEX:3,HBEX:0,,RES,BP2,,,RMT1,MUR/HEX:3+HBEX:0/YBET:1960-1985/RES/BP2/RMT1,Excellent,"https://www.google.com/maps/@38.7533647,-9.1404111,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
693,304690345,-9.1405591,38.7537269,MUR,YBET:1960-1985,HEX:3,HBEX:0,,RES,BP1,,,RMT1,MUR/HEX:3+HBEX:0/YBET:1960-1985/RES/BP1/RMT1,Excellent,"https://www.google.com/maps/@38.7537269,-9.1405591,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
694,304690346,-9.1403252,38.7538048,MUR,YBET:1960-1985,HEX:3,HBEX:0,,RES,BP1,,,RMT1,MUR/HEX:3+HBEX:0/YBET:1960-1985/RES/BP1/RMT1,Excellent,"https://www.google.com/maps/@38.7538048,-9.1403252,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
695,304690355,-9.1423963,38.7534146,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,SOS,,RMN,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/SOS/RMN,Acceptable,"https://www.google.com/maps/@38.7534146,-9.1423963,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
696,304690356,-9.1421009,38.753513,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,SOS,,RMN,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/SOS/RMN,Bad,"https://www.google.com/maps/@38.753513,-9.1421009,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
697,304690357,-9.141802,38.7536098,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,,,RMN,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/RMN,Acceptable,"https://www.google.com/maps/@38.7536098,-9.141802,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
698,304690358,-9.1415162,38.7537043,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,SOS,,RMN,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/SOS/RMN,Acceptable,"https://www.google.com/maps/@38.7537043,-9.1415162,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
700,304690360,-9.1409467,38.753898,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/RMT1,Acceptable,"https://www.google.com/maps/@38.753898,-9.1409467,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
701,304690361,-9.1406701,38.7539215,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP1,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP1/RMT1,Acceptable,"https://www.google.com/maps/@38.7539215,-9.1406701,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
702,304690362,-9.1404193,38.7540079,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP1,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP1/RMT1,Acceptable,"https://www.google.com/maps/@38.7540079,-9.1404193,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
703,304690363,-9.1402171,38.754136,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/RMT1,Excellent,"https://www.google.com/maps/@38.754136,-9.1402171,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
704,304690691,-9.1399579,38.7542231,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/RMT1,Acceptable,"https://www.google.com/maps/@38.7542231,-9.1399579,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
705,304690692,-9.1397069,38.7543066,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/RMT1,Excellent,"https://www.google.com/maps/@38.7543066,-9.1397069,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
706,304690693,-9.1394473,38.754393,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/RMT1,Acceptable,"https://www.google.com/maps/@38.754393,-9.1394473,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
707,304690694,-9.1391635,38.7544726,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP1,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP1/RMT1,Acceptable,"https://www.google.com/maps/@38.7544726,-9.1391635,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
708,304690695,-9.1390206,38.7542791,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/RMT1,Excellent,"https://www.google.com/maps/@38.7542791,-9.1390206,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
710,304690698,-9.1388643,38.7539669,MUR,YBET:1960-1985,HEX:4,HBEX:0,,RES,BP2,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/RES/BP2/RMT1,Acceptable,"https://www.google.com/maps/@38.7539669,-9.1388643,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
711,304690700,-9.1386501,38.7536098,MUR,YBET:1960-1985,HEX:4,HBEX:0,,RES,BP2,,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/RES/BP2/RMT1,Acceptable,"https://www.google.com/maps/@38.7536098,-9.1386501,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
719,304704381,-9.1433887,38.7547307,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,SOS,,RMN,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/SOS/RMN,Bad,"https://www.google.com/maps/@38.7547307,-9.1433887,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
720,304704382,-9.1432953,38.7545495,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,SOS,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/SOS/RMT1,Acceptable,"https://www.google.com/maps/@38.7545495,-9.1432953,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
721,304704383,-9.1432147,38.7544005,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,SOS,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/SOS/RMT1,Acceptable,"https://www.google.com/maps/@38.7544005,-9.1432147,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
722,304704384,-9.1431337,38.7542499,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,SOS,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/SOS/RMT1,Excellent,"https://www.google.com/maps/@38.7542499,-9.1431337,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
723,304704385,-9.1430525,38.7540941,MUR,YBET:1960-1985,HEX:4,HBEX:0,,MIX,BP2,SOS,,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/MIX/BP2/SOS/RMT1,Bad,"https://www.google.com/maps/@38.7540941,-9.1430525,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
